"EV24","FG","Q","SQ","TN","TX","UG","LAI","rd_imputed"
0.41,395.93,3.2,1.87,3.75,8.28,89.74,0.45,2.1
0.16,197.6,1.18,0,2.79,6.13,94.21,0.425,2.2
0.52,181.13,4.31,3.38,-0.45,5.13,89.05,0.4,0.8
0.19,222.7,1.35,0.05,-0.14,4.75,93.8,0.3875,10.9
0.15,167.99,1.27,0.42,2.66,6.89,96.26,0.375,12
0.34,267.56,3.02,2.92,-2.75,5.31,88.71,0.3625,0
0.36,233.77,3.26,2.33,-2.96,5.18,85.56,0.35,0.3
0.2,185.64,1.75,0.09,0.76,4.86,89.07,0.3375,1.4
0.31,277.55,2.65,0.94,-1.78,5.73,92.84,0.325,5.8
0.1,351.72,0.81,0,5.59,11.94,98.04,0.3125,11.6
0.28,418.46,1.81,1.1,9.45,13.84,93.23,0.3,11.2
0.42,509.43,3.07,1.6,8.09,11.76,87.48,0.4125,17.1
0.46,474.15,3.33,2.58,3.39,9.34,86.21,0.525,3.3
0.42,430.96,3.07,2.37,3.88,7.94,79.88,0.6375,2.2
0.27,612.18,1.83,0.93,4.95,13.62,75.38,0.75,4.1
0.24,415.43,1.52,0.29,9.86,14.51,82.24,0.8625,3
0.5,385.79,3.19,2.98,6.91,13.12,76.16,0.975,0
0.32,206.75,2.4,1.59,4.79,12.4,91.67,1.0875,0
0.45,492.08,3.08,3.06,4.28,9.59,82.29,1.2,0
0.62,388.67,5.29,7.4,-0.27,8.1,76.49,1.225,0
0.37,127.31,3.74,3.04,-2.79,4.2,92.23,1.25,0
0.36,165.45,2.85,2.14,-0.34,9.05,89.43,1.275,0
0.6,275.48,4.9,7.14,-3.75,3.9,82.35,1.3,0
0.6,119.92,5.65,7.12,-6.99,3.14,86.62,1.325,0
0.48,284.65,4.64,5.86,-7.78,4.79,82.06,1.35,0
0.17,343.84,1.34,0.1,3.1,7.9,90,1.375,0.3
0.21,179.08,1.65,0.73,-1.05,9.17,92.91,1.4,1.3
0.4,73.7,3.81,4.86,-4.63,5.79,94.38,1.2625,0
0.48,222.12,4.84,6.91,-4.98,3.29,82.61,1.125,0
0.43,109.66,4.35,6.89,-5.5,4.73,82.86,0.9875,0
0.47,122.79,4.31,6.83,-5.59,6.09,89.63,0.85,0
0.23,301.36,1.81,0.96,0.54,9.02,77.46,0.7125,0
0.38,401.71,2.8,2.89,5,9.39,71.03,0.575,0.1
0.24,347.93,1.69,1.67,6.58,12.01,86.07,0.4375,0.2
0.16,365.24,1.15,0.59,5.51,9.44,91.49,0.3,4.5
0.25,405.45,1.83,0.62,6.46,9.9,88.65,0.35,0.7
0.18,194.88,1.42,0.63,2.38,8.04,93.66,0.4,1.2
