"EV24","FG","Q","SQ","TN","TX","UG","LAI","rd_imputed","VWC5_imputed"
0.19,185.13,1.15,0.28,2.44,7.18,94.21,0.7125,0.3,0.2323
0.21,189.09,1.58,0.84,4.48,8.28,94.94,0.8,0,0.233
0.37,184.41,2.91,4.59,-0.78,7.06,94.84,0.9125,0,0.2313
0.36,201.81,3.38,5.49,-2.96,3.85,92.31,1.025,0,0.2289
0.26,415.9,2.31,0.93,-1,8.06,85.14,1.1375,13.5,0.2269
0.11,317.98,0.98,0.06,4.08,6.59,95.06,1.25,0,0.2872
0.27,492.77,2.53,2.99,3.73,8.39,88.8,1.3625,1.4,0.2838
0.3,563.55,2.09,1.24,5.98,8.78,85.59,1.475,1.7,0.2752
0.1,649.87,0.48,0,7.92,11.34,90.31,1.5875,4,0.272
0.35,548.24,2.8,3.74,3.3,11.34,79.47,1.7,1,0.2752
0.4,298.11,3.38,5.89,1.11,8.92,89.49,1.71666666666667,0,0.2738
0.17,143.63,1.47,0.64,-3.34,4.46,96.17,1.73333333333333,0,0.2659
0.3,87.65,3.1,4.11,-5.28,2.06,96.15,1.75,0,0.2583
0.39,175.21,4.04,6.3,-6.84,3.01,94.54,1.76666666666667,0,0.2524
0.1,320.48,0.95,0.04,-1.91,0.81,98.54,1.78333333333333,0,0.248
0.1,404.66,1.04,0,-1.76,0.69,96.61,1.8,3,0.245
0.41,251.14,3.69,5.45,-1.41,6.21,91.31,1.5875,0.8,0.2498
0.21,470.48,1.99,1.55,-1.49,5.39,90.72,1.375,2.7,0.2505
0.32,480.37,2.68,2.92,1.06,6.65,83,1.1625,2.3,0.2545
0.43,198.15,4.33,6.37,-6.5,2.6,82.16,0.95,0,0.2548
0.48,200.39,5.4,6.53,-7.98,-0.64,79.43,0.7375,2,0.2504
0.1,335.36,0.85,0.01,-2.95,0.93,93.82,0.525,1.5,0.2461
0.19,130.16,1.41,0,0.82,4.85,98.16,0.3125,0.1,0.253
0.19,349.05,1.6,0.3,2.16,5.71,94.68,0.1,5.9,0.261
0.21,292.71,1.72,1.14,2.16,6.19,94.06,0.15,0.2,0.2856
0.21,603.91,1.38,1.14,4.84,9.85,81.64,0.2,0.7,0.2812
0.39,491.18,2.87,2.22,0.87,7.24,82.44,0.25,26.9,0.2812
0.38,497.48,3.34,3.46,0.06,4.34,88.31,0.3,5.7,0.3383
0.3,351.92,2.59,2.42,-0.4,4.14,88.13,0.35,4.6,0.325
0.39,177.37,3.9,3.68,-3.26,2.83,95.12,0.4,0,0.3124
0.11,160.85,1.07,0.15,-4.55,-0.25,95.86,0.45,0,0.2997
0.49,178.53,4.73,5.48,-5.12,-0.4,88.65,0.5,0,0.2852
0.29,170.16,3,2.82,-5.55,-1.24,91.48,0.5625,0,0.2747
0.6,126.19,6.24,7.01,-6.43,2.8,82.71,0.625,0,0.2662
0.51,162.87,4.83,6.4,-6.81,3.86,73.66,0.6875,0,0.259
0.58,201.91,5.58,7.55,-5.72,4.22,81.5,0.75,0,0.2536
0.56,71.98,5.98,7.39,-8.51,3.12,85.81,0.8125,0,0.2484
0.18,152.56,1.58,0.08,-3.7,1.31,88.97,0.875,0.7,0.2447
0.18,143.28,1.59,0,-0.3,1.73,96.47,0.9375,0,0.2446
0.27,197.24,2.73,2.13,-5.01,0,84.46,1,0,0.244
0.6,232.92,6.4,7.55,-5.75,1.37,78.34,0.9125,0,0.2404
0.49,299.2,4,5.02,-5.05,6.64,70.77,0.825,0,0.2361
0.5,314.72,4.21,3.86,1.14,9.45,69.54,0.7375,0.7,0.2356
0.45,388.73,3.53,3.02,2.91,7.19,87.39,0.65,7.8,0.2352
