"VWC5","EV24","FG","Q","SQ","TN","TX","UG","LAI","rd_imputed"
0.3069,0.49,457.08,3.24,0.09,6.41,12.56,93.22,1.45,9.8
0.3209,0.5,574.32,3.25,0.06,9.38,12.92,85.93,1.5375,1.2
0.3148,0.53,584.95,3.59,0.11,9.17,12.07,86.1,1.625,3.5
0.3231,1.56,382.3,11.51,6.67,1.59,11.12,72.59,1.7125,0.3
0.3007,1.97,266.43,14.97,9.13,-0.93,12.44,67.71,1.8,0
0.2865,2.23,365.75,15.83,9.52,1.31,14.37,72.26,1.825,0
0.2766,2.21,418.17,15.42,9.51,4.03,14.07,68.57,1.85,0
0.2692,2.41,414,17.15,10.97,1.89,15.32,57.62,1.875,0
0.2627,2.22,304.53,15.62,8.09,2.7,14.34,74.56,1.9,0
0.2567,2.67,225.42,18.41,11.63,1.58,17.82,61.88,1.925,0
0.2498,2.65,236.23,17.28,11.27,1.5,19.89,63.77,1.95,0
0.2441,1.03,372.83,6.59,1.33,8.6,16.02,77.08,1.975,0
0.2379,2.66,313.45,15.84,8.53,10.7,22.29,63.23,2,0
0.2275,2.44,306.13,14.52,6.65,9.13,23.46,66.85,1.8875,0.2
0.2213,0.98,185.89,6.43,0.68,7.33,14.92,88.75,1.775,1.1
0.2212,2.36,219.48,15.85,8.67,5.12,17.86,80.61,1.6625,0
0.2158,1.86,115.95,13.19,5.81,3.46,15.22,84.5,1.55,0
0.2091,2.24,143.93,15.16,8.96,1.86,17,72.38,1.4375,0
0.2032,1.47,302.05,10.43,2.12,4.08,14.09,78.44,1.325,0
0.1998,1.04,241.75,7.5,1.62,3.07,11.05,77.74,1.2125,0
0.1978,1.18,242.15,8.22,1.28,2.42,14.24,74.9,1.1,0
0.1956,1.9,119.94,13.05,4.79,3.05,14.92,72.99,1.1125,0
0.1892,3.22,129.14,20.77,11.93,0.57,22.61,64.8,1.125,0
0.1832,1.75,341.09,11.96,4.29,3.66,14.63,69.29,1.1375,0
0.1798,1.82,295.78,12.92,5.71,1.31,15.28,71.9,1.15,0
